그룹명,링크,승인절차 여부,승인여부,전공
"4차산업혁명 시대, 스마트제조",https://www.facebook.com/groups/plmcafe/,승인 필요,승인O,기계공학
[IT & 보안] 세미나 & 교육 & 설문조사,https://www.facebook.com/groups/ITnSEC/,승인 필요,승인O,컴퓨터공학
"AI Startup community, 인공지능 스타트업 커뮤니티",https://www.facebook.com/groups/aitutor21/,승인절차 X,,컴퓨터공학
ChatGPT Korea,https://www.facebook.com/groups/chatgptkorea/,승인 필요,승인O,컴퓨터공학
GPTers 커뮤니티,https://www.facebook.com/groups/chatgpters/,승인 필요,승인O,컴퓨터공학
IT독서실,https://www.facebook.com/groups/itbook4u/,승인 필요,,컴퓨터공학
LangChain KR,https://www.facebook.com/groups/langchainkr/,승인절차 X,,컴퓨터공학
개발자 실리콘밸리 취업,https://www.facebook.com/groups/svdevelopers/,승인 필요,승인O,컴퓨터공학
"나, 개발 한번 해보려고 그룹",https://www.facebook.com/groups/829865883847246/,승인 필요,승인O,컴퓨터공학
나는개발자다,https://www.facebook.com/groups/waglnet/,승인절차 X,,컴퓨터공학
바이브코딩,https://www.facebook.com/groups/1183007433518603/,승인절차 X,,컴퓨터공학
Biology(생물학),https://www.facebook.com/groups/350830021970224/,승인 필요,승인O,바이오
생명과학(Life science),https://www.facebook.com/groups/lifescienceisgood/,승인 필요,승인O,바이오
STOCK STUDY,https://www.facebook.com/groups/1422323858020718/,승인 필요,승인O,경제학
금융전문가그룹,https://www.facebook.com/groups/financetop/,승인 필요,승인O,경제학
비주류 경제학 연구회 Economica Societas Heterodoxorum,https://www.facebook.com/groups/389056236471484/,승인 필요,승인O,경제학
마케터 비밀노트,https://www.facebook.com/groups/rgfile/,승인 필요,승인O,마케팅
커뮤니티마케팅 & 웹기획 스터디,https://www.facebook.com/groups/topshock/,승인 필요,승인O,마케팅
상담&심리,https://www.facebook.com/groups/counselpsychology/,승인 필요,승인O,심리학
수학(Mathematics) 그룹,https://www.facebook.com/groups/drmath/,승인 필요,승인O,수학
통계마당 (Statistical Ground),https://www.facebook.com/groups/statground,승인 절차X,승인O,통계학
한국인공지능교육학회,https://www.facebook.com/groups/1058170944544355,승인 필요,,컴퓨터공학
SW교육을 준비하는 선생님들의 모임,https://www.facebook.com/groups/codingteacher,,,컴퓨터공학
자율주행 개발자 모임,https://www.facebook.com/groups/autodrive.community,승인 필요,,기계공학
AI와 함께하는 교육자 모임,https://www.facebook.com/groups/365415614171876,,,컴퓨터공학
상담 및 심리예술치료,https://www.facebook.com/groups/1428357790765848,승인 필요,,심리학
뇌과학 테크 포럼,https://www.facebook.com/groups/251796475364791,승인 필요,,바이오
Claude KR,https://www.facebook.com/groups/1415681996005475,,,컴퓨터공학
"생활수학 :: 교육, 수학, 물리, 수업, 학습 관련 자료 나눔",https://www.facebook.com/groups/math365,승인 필요,,수학
AI Robotics KR (인공지능 로봇틱스 코리아),https://www.facebook.com/groups/airoboticskr,승인 필요,,기계공학
에너지에 대해 고민하는 사람들,https://www.facebook.com/groups/341785516244830,승인 필요,,물리과학
미래에너지네트워크,https://www.facebook.com/groups/EnergyFutureInitiative,승인 필요,,물리과학
엔지니어링IT(구 건축건설플랜트),https://www.facebook.com/groups/aecplant,승인 필요,승인O,기계공학
파이썬 코딩,https://www.facebook.com/groups/189445102003919,승인 필요,,컴퓨터공학
한국인공지능포럼 (Korea AI Forum) w/ 생성 AI 아카데미,https://www.facebook.com/groups/KoreaAIforum,승인 필요,,컴퓨터공학
AWSKRUG- AWS한국사용자모임,https://www.facebook.com/groups/189675924467773/?action_source=group_mall_recommendation_affordance,승인 필요,,컴퓨터공학
빅데이터&스몰데이터,https://www.facebook.com/groups/BigdataSmalldata,승인 필요,,통계학
Little Big Data: 다양한 사람들의 데이터 사이언스 이야기,https://www.facebook.com/groups/littlebigdata,승인 필요,,통계학
Immune Cell Therapy 면역세포치료,https://www.facebook.com/groups/417011835115660,승인 필요,,바이오
자율주행 드론 개발 전문가 그룹,https://www.facebook.com/groups/smartdrone,승인 필요,,기계공학
한국데이터사이언스학회(Korean Association of Data Science),https://www.facebook.com/groups/datasci,승인 절차X,,통계학
IT업계에 사랑 받는 기술 For 개발자 / 디자이너 / IT기획자,https://www.facebook.com/groups/itsideprojects,승인 절차X,,컴퓨터공학
"대한민국 IT개발자 프로그래머 이야기 (진로, 연봉, 회사 생활, 취업, 이직, 자기 개발)",https://www.facebook.com/groups/devlife,,,컴퓨터공학
농생태학 공부 모임,https://www.facebook.com/groups/agroecology.korea,,,바이오
유럽 생명과학 유학생-포스닥-교수 모임,https://www.facebook.com/groups/1743800782526148,,,바이오
데이터 사이언티스트 사람들- korea,https://www.facebook.com/groups/709903983134809,,,컴퓨터공학
딥러닝 자연어처리 연구그룹,https://www.facebook.com/groups/ainlp,,,컴퓨터공학
Korean Bioinformatics,https://www.facebook.com/groups/koreanbioinformatics,참여요청 대기중,,바이오
